example,method,param,value
23,joint,confCritR,0.8775365146
23,joint,confCritL,1.152535765
23,joint,nll,38.83415076
23,joint_seq_init,guessRate,0.01
23,joint_seq_init,alpha_gain,0.6073380863
23,joint_seq_init,beta_gain,0.5378854708
23,joint_seq_init,gamma_gain,2.300631597
23,joint_seq_init,uncMeta,0.9161962625
23,joint_seq_init,confCritR,0.9212048257
23,joint_seq_init,confCritL,1.315120216
23,joint_seq_init,nll,38.28156098
24,truth,guessRate,0
24,truth,alpha_gain,0.8042397247
24,truth,beta_gain,0.241713181
24,truth,gamma_gain,1.045050347
24,truth,uncMeta,1.182310197
24,truth,confCritR,0.6774813005
24,truth,confCritL,0.1029579475
24,truth,nll,24.41685976
24,sequential,guessRate,0.01
24,sequential,alpha_gain,0.767994301
24,sequential,beta_gain,0.2262008377
24,sequential,gamma_gain,1.187928625
24,sequential,uncMeta,0.1881039994
24,sequential,confCritR,0.566286785
24,sequential,confCritL,0.2015044658
24,sequential,nll,24.71840634
24,joint,guessRate,0.01
24,joint,alpha_gain,0.8356766868
24,joint,beta_gain,0.2964447401
24,joint,gamma_gain,1.162958166
24,joint,uncMeta,1.388497102
24,joint,confCritR,1.020100234
24,joint,confCritL,0.232254091
24,joint,nll,25.51767539
24,joint_seq_init,guessRate,0.01
24,joint_seq_init,alpha_gain,0.7655892834
24,joint_seq_init,beta_gain,0.231965488
24,joint_seq_init,gamma_gain,1.246559421
24,joint_seq_init,uncMeta,0.3370065078
24,joint_seq_init,confCritR,0.5644808041
24,joint_seq_init,confCritL,0.1485918001
24,joint_seq_init,nll,24.69895982
25,truth,guessRate,0
25,truth,alpha_gain,1.027327181
25,truth,beta_gain,0.4634046168
25,truth,gamma_gain,2.930776095
25,truth,uncMeta,3.077232658
25,truth,confCritR,2.939018388
25,truth,confCritL,0.5134291127
25,truth,nll,8.813426745
25,sequential,guessRate,0.01
25,sequential,alpha_gain,0.9526336491
25,sequential,beta_gain,0.4085073762
25,sequential,gamma_gain,4.060701322
25,sequential,uncMeta,1.391901217
25,sequential,confCritR,0.3819999937
25,sequential,confCritL,0.1706826828
25,sequential,nll,3.581072052
25,joint,guessRate,0.01
25,joint,alpha_gain,0.9851468123
25,joint,beta_gain,0.5254419944
25,joint,gamma_gain,3.448474503
25,joint,uncMeta,0.2560162457
25,joint,confCritR,0.1099646172
25,joint,confCritL,0.2643624671
25,joint,nll,3.590178011
25,joint_seq_init,guessRate,0.01
25,joint_seq_init,alpha_gain,0.9580130578
25,joint_seq_init,beta_gain,0.408507376
25,joint_seq_init,gamma_gain,5.237612184
25,joint_seq_init,uncMeta,2.446488989
25,joint_seq_init,confCritR,0.2308601939
25,joint_seq_init,confCritL,0.1419401589
25,joint_seq_init,nll,3.317094957
26,truth,guessRate,0
26,truth,alpha_gain,0.9956318497
26,truth,beta_gain,0.2728908031
26,truth,gamma_gain,1.649413794
26,truth,uncMeta,1.257130005
